issue_date,created_at,amount_due,county,fine_amount,interest_amount,issuing_agency,judgment_entry_date,license_type,payment_amount,penalty_amount,plate,precinct,reduction_amount,state,summons_number,violation,violation_status,violation_time
2024-10-02T08:00:00.000000-0400,2024-10-13T01:42:40.046000-0400,0.0,BX,50.0,0.17,DEPARTMENT OF TRANSPORTATION,,PAS,75.04,25.0,LAA9336,0,0.13,NY,4919681987,PHTO SCHOOL ZN SPEED VIOLATION,,11:43A
2023-12-21T10:00:00.000000-0500,2023-12-31T02:40:56.613000-0500,0.0,BK,50.0,0.32,DEPARTMENT OF TRANSPORTATION,2024-03-14T04:00:00.000000-0400,PAS,75.3,25.0,8933ZU,0,0.02,ME,4877937316,PHTO SCHOOL ZN SPEED VIOLATION,,08:00P
2023-05-25T08:00:00.000000-0400,2023-06-04T01:34:52.072000-0400,0.0,BK,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,75.0,25.0,AV32688,0,0.0,CT,4843308134,PHTO SCHOOL ZN SPEED VIOLATION,HEARING HELD-GUILTY,07:12P
2023-08-25T08:00:00.000000-0400,2023-09-03T01:29:35.188000-0400,0.0,QN,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,JRS6515,0,0.0,NY,4859909161,PHTO SCHOOL ZN SPEED VIOLATION,,06:52P
2023-01-14T10:00:00.000000-0500,2023-01-22T02:29:24.485000-0500,0.0,BK,50.0,1.2,DEPARTMENT OF TRANSPORTATION,,PAS,76.15,25.0,K50PMA,0,0.05,NJ,4822455087,PHTO SCHOOL ZN SPEED VIOLATION,,01:42P
2023-12-16T10:00:00.000000-0500,2023-12-24T02:32:14.261000-0500,0.0,BX,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,LGC1924,0,0.0,NY,4876956674,PHTO SCHOOL ZN SPEED VIOLATION,,01:59P
2023-09-13T08:00:00.000000-0400,2023-09-24T01:41:39.586000-0400,0.0,QN,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,25.0,KNY8274,0,25.0,NY,4862876158,PHTO SCHOOL ZN SPEED VIOLATION,,01:46P
2023-11-06T10:00:00.000000-0500,2023-11-19T02:39:02.706000-0500,87.26,BK,50.0,12.26,DEPARTMENT OF TRANSPORTATION,2024-02-01T05:00:00.000000-0500,PAS,0.0,25.0,KZN1644,0,0.0,NY,4871709103,PHTO SCHOOL ZN SPEED VIOLATION,,08:58A
2024-08-12T08:00:00.000000-0400,2024-08-25T01:47:53.395000-0400,81.93,BK,50.0,6.93,DEPARTMENT OF TRANSPORTATION,,PAS,0.0,25.0,4BFL11,0,0.0,MA,4912368301,PHTO SCHOOL ZN SPEED VIOLATION,,07:33A
2024-09-16T08:00:00.000000-0400,2024-09-29T01:37:25.774000-0400,0.0,BK,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,GWEJ81,0,0.0,FL,4917448979,PHTO SCHOOL ZN SPEED VIOLATION,,01:59P
2025-07-23T08:00:00.000000-0400,2025-08-03T01:56:00.664000-0400,75.56,BK,50.0,0.56,DEPARTMENT OF TRANSPORTATION,2025-10-16T04:00:00.000000-0400,PAS,0.0,25.0,KYP1339,0,0.0,NY,4957388556,PHTO SCHOOL ZN SPEED VIOLATION,,07:54A
